COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,2021,35216.951
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,2021,35216.951
TOTOECD,BALANCE,TOTPRODS,BUNKERS,2021,78108.971
TOTOECD,BALANCE,CRNGFEED,CSNATTER,2021,290546.171
TOTOECD,BALANCE,TOTPRODS,CSNATTER,2021,201049.461
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,2021,258871.998
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,2021,1805482.166
TOTOECD,BALANCE,CRNGFEED,INDPROD,2021,1241793.076
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,2021,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,2021,1770265.215
TOTOECD,BALANCE,CRNGFEED,OSNATTER,2021,318972.413
TOTOECD,BALANCE,TOTPRODS,OSNATTER,2021,225260.559
TOTOECD,BALANCE,CRNGFEED,OSOURCES,2021,86800.349
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,2021,258871.998
TOTOECD,BALANCE,CRNGFEED,PTRANSF,2021,66129.144
TOTOECD,BALANCE,TOTPRODS,PTRANSF,2021,66129.144
TOTOECD,BALANCE,TOTPRODS,RECYCLED,2021,1340.279
TOTOECD,BALANCE,TOTPRODS,REFFUEL,2021,76374.018
TOTOECD,BALANCE,TOTPRODS,REFGROUT,2021,1809728.092
TOTOECD,BALANCE,CRNGFEED,REFINOBS,2021,1850955.879
TOTOECD,BALANCE,CRNGFEED,REFLOSS,2021,41227.787
TOTOECD,BALANCE,CRNGFEED,STATDIFF,2021,-25923.3
TOTOECD,BALANCE,TOTPRODS,STATDIFF,2021,22545.337
TOTOECD,BALANCE,CRNGFEED,STCHANAT,2021,-28486.243000000002
TOTOECD,BALANCE,TOTPRODS,STCHANAT,2021,-24433.923
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,2021,567269.415
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,2021,652344.605
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,2021,1192748.229
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,2021,606609.949
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,2022,37052.072
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,2022,37052.072
TOTOECD,BALANCE,TOTPRODS,BUNKERS,2022,82884.655
TOTOECD,BALANCE,CRNGFEED,CSNATTER,2022,266144.473
TOTOECD,BALANCE,TOTPRODS,CSNATTER,2022,203128.405
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,2022,273846.342
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,2022,1853546.898
TOTOECD,BALANCE,CRNGFEED,INDPROD,2022,1286496.431
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,2022,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,2022,1816494.826
TOTOECD,BALANCE,CRNGFEED,OSNATTER,2022,290612.172
TOTOECD,BALANCE,TOTPRODS,OSNATTER,2022,201100.712
TOTOECD,BALANCE,CRNGFEED,OSOURCES,2022,90638.382
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,2022,273846.342
TOTOECD,BALANCE,CRNGFEED,PTRANSF,2022,71614.162
TOTOECD,BALANCE,TOTPRODS,PTRANSF,2022,71614.162
TOTOECD,BALANCE,TOTPRODS,RECYCLED,2022,1325.684
TOTOECD,BALANCE,TOTPRODS,REFFUEL,2022,80001.586
TOTOECD,BALANCE,TOTPRODS,REFGROUT,2022,1901807.751
TOTOECD,BALANCE,CRNGFEED,REFINOBS,2022,1942991.401
TOTOECD,BALANCE,CRNGFEED,REFLOSS,2022,41183.65
TOTOECD,BALANCE,CRNGFEED,STATDIFF,2022,-43962.298
TOTOECD,BALANCE,TOTPRODS,STATDIFF,2022,22139.677
TOTOECD,BALANCE,CRNGFEED,STCHANAT,2022,-24473.41
TOTOECD,BALANCE,TOTPRODS,STCHANAT,2022,2086.7090000000007
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,2022,586231.671
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,2022,674742.929
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,2022,1248832.659
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,2022,610036.839
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,2Q2023,9577.129
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,2Q2023,9577.129
TOTOECD,BALANCE,TOTPRODS,BUNKERS,2Q2023,18693.493
TOTOECD,BALANCE,CRNGFEED,CSNATTER,2Q2023,267448.122
TOTOECD,BALANCE,TOTPRODS,CSNATTER,2Q2023,204135.956
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,2Q2023,72197.148
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,2Q2023,463264.191
TOTOECD,BALANCE,CRNGFEED,INDPROD,2Q2023,334053.422
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,2Q2023,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,2Q2023,453687.062
TOTOECD,BALANCE,CRNGFEED,OSNATTER,2Q2023,270489.964
TOTOECD,BALANCE,TOTPRODS,OSNATTER,2Q2023,200797.613
TOTOECD,BALANCE,CRNGFEED,OSOURCES,2Q2023,23539.95
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,2Q2023,72197.148
TOTOECD,BALANCE,CRNGFEED,PTRANSF,2Q2023,17757.632
TOTOECD,BALANCE,TOTPRODS,PTRANSF,2Q2023,17757.632
